,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,mujoco,google-deepmind/mujoco,simulators,"Multi-Joint dynamics with Contact (MuJoCo) is a physics engine for fast, accurate robot simulation and optimization.",https://github.com/google-deepmind/mujoco,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-05-07 18:34:01,2026-05-07 18:33:18,4655.0,582.0,1476.0,125.0,539.0,155.0,1689.0,13379.0,2026-04-24 23:03:38,3.8.0,1003747.0,18249.0,47.0,5370.0,5370.0,114.0,38,True,1.0,,,
1,rerun,rerun-io/rerun,libraries-frameworks,An SDK for logging computer vision and robotics data paired with a visualizer for exploring that data over time.,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2026-05-07 18:21:36,2026-05-07 17:30:31,8775.0,815.0,712.0,71.0,8234.0,1306.0,3065.0,10657.0,2026-04-29 08:22:42,0.31.4,262087.0,6720.0,73.0,293.0,293.0,159.0,36,True,1.0,"['mit', 'apache']",,
2,px4,PX4/PX4-Autopilot,drones,PX4 is an open source flight control software for drones and other unmanned vehicles.,https://github.com/PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,BSD-3-Clause,2012-08-04 21:19:36,2026-05-07 17:41:22,2026-05-07 17:24:47,49744.0,1264.0,14367.0,469.0,18679.0,997.0,7578.0,11663.0,2026-04-22 14:13:56,1.16.2,11084.0,93.0,100.0,,,1100.0,35,True,1.0,,,
3,lerobot,huggingface/lerobot,libraries-frameworks,"Developed by Hugging Face, LeRobot provides models, datasets and tools for real-world robotics in PyTorch.",https://github.com/huggingface/lerobot,https://github.com/huggingface/lerobot,Apache-2.0,2024-01-26 15:50:41,2026-05-07 16:38:42,2026-05-07 15:52:34,1437.0,193.0,4209.0,152.0,2272.0,328.0,921.0,23816.0,2026-04-07 14:57:52,0.5.1,904.0,100.0,9.0,273.0,273.0,211.0,34,True,1.0,"['python', 'apache']",5.0,
4,open3d,isl-org/Open3D,libraries-frameworks,An open-source library that supports rapid development of software that deals with 3D data.,https://github.com/isl-org/Open3D,https://github.com/isl-org/Open3D,,2016-12-02 16:40:38,2026-05-07 18:14:27,2026-05-07 17:24:15,4232.0,12.0,2464.0,199.0,2872.0,1294.0,2800.0,13557.0,2025-01-08 07:31:27,0.19.0,767739.0,7754.0,23.0,15034.0,15034.0,279.0,34,False,1.0,"['cpp', 'python', 'mit']",,
5,ardupilot,ArduPilot/ardupilot,drones,"Open Source autopilot for multirotors, fixed wings, rovers, boats and submarines.",https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot,GPL-3.0,2013-01-09 00:58:52,2026-05-07 03:30:03,2026-05-07 03:30:03,71977.0,1102.0,19821.0,675.0,25373.0,1651.0,5964.0,15027.0,2025-11-20 05:47:48,Plane-4.6.3,,,86.0,,,1303.0,32,True,3.0,,,
6,airsim,microsoft/AirSim,simulators,"A simulator for drones, cars and more, built on Unreal Engine and made by Microsoft.",https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,,2017-02-14 00:52:29,2026-03-15 23:17:10,2026-03-15 23:17:09,3562.0,1.0,4522.0,573.0,914.0,681.0,2729.0,18156.0,2022-07-18 20:11:48,1.8.1,691453.0,6648.0,30.0,441.0,441.0,244.0,30,False,2.0,['mit'],,
7,dora,dora-rs/dora,middleware,Middleware designed to streamline and simplify the creation of AI-based robotic applications.,https://github.com/dora-rs/dora,https://github.com/dora-rs/dora,Apache-2.0,2022-02-17 21:33:07,2026-05-06 07:42:30,2026-05-05 10:47:57,4937.0,495.0,387.0,56.0,1253.0,114.0,276.0,3750.0,2026-03-25 18:24:38,0.5.0,7707.0,183.0,70.0,59.0,59.0,98.0,30,True,1.0,['apache'],,
8,open-mct,nasa/openmct,gui-tools,Open MCT (Open Mission Control Technologies) is a next-generation mission control framework for visualization of data..,https://github.com/nasa/openmct,https://github.com/nasa/openmct,,2015-06-02 18:40:28,2026-05-07 16:32:12,2026-04-28 01:21:02,8109.0,15.0,1388.0,273.0,4220.0,912.0,2968.0,12948.0,2025-02-04 21:39:34,4.1.0,829.0,6.0,66.0,179.0,179.0,107.0,28,False,1.0,['apache'],,
9,webots,cyberbotics/webots,simulators,"Free and open source simulator that includes a large collection of robots, sensors, actuators and objects models.",https://github.com/cyberbotics/webots,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-05-06 23:30:36,2026-05-04 13:30:21,15746.0,15.0,1941.0,75.0,4701.0,230.0,1677.0,4335.0,2025-02-04 12:36:33,R2025a,1852138.0,20810.0,17.0,,,143.0,28,True,2.0,,,
