,name,github_id,labels,category,description,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,open3d,isl-org/Open3D,"['cpp', 'python', 'mit']",libraries-frameworks,An open-source library that supports rapid development of software that deals with 3D data.,{},15348.0,15348.0,287.0,8,False,1.0,
1,mujoco,google-deepmind/mujoco,,simulators,"Multi-Joint dynamics with Contact (MuJoCo) is a physics engine for fast, accurate robot simulation and optimization.",{},5750.0,5750.0,133.0,7,False,1.0,-30.0
2,rerun,rerun-io/rerun,"['mit', 'apache']",libraries-frameworks,An SDK for logging computer vision and robotics data paired with a visualizer for exploring that data over time.,{},328.0,328.0,183.0,6,False,1.0,-28.0
3,lerobot,huggingface/lerobot,"['python', 'apache']",libraries-frameworks,"Developed by Hugging Face, LeRobot provides models, datasets and tools for real-world robotics in PyTorch.",{},401.0,401.0,255.0,6,False,1.0,
4,airsim,microsoft/AirSim,['mit'],simulators,"A simulator for drones, cars and more, built on Unreal Engine and made by Microsoft.",{},450.0,450.0,247.0,6,False,2.0,
5,robotics-toolbox-python,petercorke/robotics-toolbox-python,"['python', 'mit']",libraries-frameworks,"This toolbox brings robotics-specific functionality to Python, leveraging Pythons advantages of portability, ubiquity..",{},309.0,309.0,32.0,5,False,2.0,
6,open-mct,nasa/openmct,['apache'],gui-tools,Open MCT (Open Mission Control Technologies) is a next-generation mission control framework for visualization of data..,{},179.0,179.0,107.0,4,False,1.0,
7,dora,dora-rs/dora,['apache'],middleware,Middleware designed to streamline and simplify the creation of AI-based robotic applications.,{},65.0,65.0,114.0,4,False,1.0,
8,webviz,cruise-automation/webviz,"['ros', 'apache']",ros,A web based application for playback and visualization of ROS bag files made by Cruise Automation.,{},49.0,49.0,28.0,4,False,1.0,
9,donkeycar,autorope/donkeycar,"['python', 'mit']",open-source-robots,"DIY self-driving platform for small scale cars. Requires an R/C car, Raspberry Pi and is programmed in Python.",{},37.0,37.0,141.0,3,False,1.0,
10,ardupilot,ArduPilot/ardupilot,,drones,"Open Source autopilot for multirotors, fixed wings, rovers, boats and submarines.",{},,,1365.0,3,False,1.0,-30.0
11,px4,PX4/PX4-Autopilot,,drones,PX4 is an open source flight control software for drones and other unmanned vehicles.,{},,,1164.0,3,False,1.0,-32.0
12,pythonrobotics,AtsushiSakai/PythonRobotics,"['python', 'mit']",education,Python sample codes for robotics algorithms.,{},24.0,24.0,147.0,3,False,1.0,
13,kalman-and-bayesian-filters,rlabbe/Kalman-and-Bayesian-Filters-in-Python,['python'],education,"Kalman Filter book using Jupyter Notebook focusing on building intuition and experience, not formal proofs.",{},23.0,23.0,110.0,3,False,1.0,
14,awesome-ros2,fkromer/awesome-ros2,,other,Awesome ROS 2 list.,{},10.0,10.0,44.0,3,False,1.0,
15,paparazzi,paparazzi/paparazzi,,drones,Open-source drone hardware and software project encompassing autopilot systems and ground station software for..,{},,,174.0,2,False,3.0,
16,gtsam,borglab/gtsam,['cpp'],libraries-frameworks,"A BSD-licensed C++ library that implements sensor fusion for robotics and computer vision applications, including..",{},,,329.0,2,False,2.0,
17,behaviortree-cpp,BehaviorTree/BehaviorTree.CPP,"['cpp', 'mit']",ros,Behavior Trees Library in C++.,{},,,160.0,2,False,2.0,
18,plotjuggler,facontidavide/PlotJuggler,['ros'],ros,"QT5 based application to display time series in plots, using an intuitive drag and drop interface.",{},,,149.0,2,False,2.0,
19,roslibjs,RobotWebTools/roslibjs,"['ros', 'javascript']",ros,A standard ROS JavaScript library.,{},3.0,3.0,83.0,2,False,2.0,
20,machine-learning-course,instillai/machine-learning-course,['python'],education,Freely available Machine Learning course using Python developed by Machine Learning Mindset.,{},23.0,23.0,10.0,2,False,3.0,
21,turtlebot,turtlebot/turtlebot,['ros'],open-source-robots,"A popular, low-cost, personal robot kit with open-source software, created at Willow Garage.",{},,,52.0,1,False,2.0,
22,nasa-open-source-rover,nasa-jpl/open-source-rover,['apache'],open-source-robots,"A build-it-yourself, 6-wheel rover based on the rovers on Mars.",{},,,52.0,1,False,2.0,
23,openbot,intel-isl/OpenBot,['mit'],open-source-robots,$50 robot car that interfaces with smartphone for high level control.,{},,,41.0,1,False,2.0,
24,so-arm100,TheRobotStudio/SO-ARM100,['apache'],open-source-robots,Open Source 3D printable low-cost robot arm for accessible end-to-end learning.,{},,,36.0,1,False,2.0,
25,ceres-solver,ceres-solver/ceres-solver,['cpp'],libraries-frameworks,"An open source C++ library for modeling and solving large, complicated optimization problems, used for bundle..",{},,,122.0,1,False,2.0,
26,videoflow,videoflow/videoflow,"['python', 'mit']",libraries-frameworks,Python framework that facilitates the quick development of complex video analysis applications in a multiprocessing..,{},6.0,6.0,15.0,1,False,2.0,
27,openpose,CMU-Perceptual-Computing-Lab/openpose,,libraries-frameworks,"Real-time multi-person keypoint detection library for body, face, hands, and foot estimation.",{},,,109.0,1,False,2.0,
28,ompl,ompl/ompl,['cpp'],libraries-frameworks,OMPL consists of many state-of-the-art sampling-based motion planning algorithms.,{},,,126.0,1,False,2.0,
29,pinocchio,stack-of-tasks/pinocchio,['cpp'],libraries-frameworks,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,{},,,121.0,1,False,2.0,
30,exotica,ipab-slmc/exotica,"['cpp', 'python']",libraries-frameworks,"A general Optimisation Toolset for Robotics platforms, written in C++ with bindings for Python.",{},,,23.0,1,False,2.0,
31,crocoddyl,loco-3d/crocoddyl,['cpp'],libraries-frameworks,An optimal control library for robot control under contact sequence based on various efficient Differential Dynamic..,{},,,62.0,1,False,2.0,
